Cusip,Company_Name,Ticker,anndats,transcript_date,actual_eps,forecast_eps
30303M10,META PLATFORMS INC,FB,2014-10-28,2014-10-28,0.43,0.39
30303M10,META PLATFORMS INC,FB,2015-01-28,2015-01-28,0.54,1.7
30303M10,META PLATFORMS INC,FB,2015-04-22,2015-04-22,0.42,0.4
30303M10,META PLATFORMS INC,FB,2015-07-29,2015-07-29,0.5,0.47
30303M10,META PLATFORMS INC,FB,2015-11-04,2015-11-04,0.57,0.52
30303M10,META PLATFORMS INC,FB,2016-01-27,2016-01-27,0.79,2.17
30303M10,META PLATFORMS INC,FB,2016-04-27,2016-04-27,0.77,0.63
30303M10,META PLATFORMS INC,FB,2016-07-27,2016-07-27,0.97,0.82
30303M10,META PLATFORMS INC,FB,2016-11-02,2016-11-02,1.09,0.97
30303M10,META PLATFORMS INC,FB,2017-02-01,2017-02-01,1.41,4.13
30303M10,META PLATFORMS INC,FB,2017-05-03,2017-05-03,1.3,1.1
30303M10,META PLATFORMS INC,FB,2017-07-26,2017-07-26,1.32,1.13
30303M10,META PLATFORMS INC,FB,2017-11-01,2017-11-01,1.59,1.26
30303M10,META PLATFORMS INC,FB,2018-01-31,2018-01-31,2.21,5.88
30303M10,META PLATFORMS INC,FB,2018-04-25,2018-04-25,1.69,1.37
30303M10,META PLATFORMS INC,FB,2018-07-25,2018-07-25,1.74,1.73
30303M10,META PLATFORMS INC,FB,2018-10-30,2018-10-30,1.76,1.47
30303M10,META PLATFORMS INC,FB,2019-01-30,2019-01-30,2.38,7.4
30303M10,META PLATFORMS INC,FB,2019-04-24,2019-04-24,1.89,1.62
30303M10,META PLATFORMS INC,FB,2019-07-24,2019-07-24,1.99,1.88
30303M10,META PLATFORMS INC,FB,2019-10-30,2019-10-30,2.12,1.91
30303M10,META PLATFORMS INC,FB,2020-01-29,2020-01-29,2.56,6.41
30303M10,META PLATFORMS INC,FB,2020-04-29,2020-04-29,1.71,1.94
30303M10,META PLATFORMS INC,FB,2020-07-30,2020-07-30,1.8,1.4
30303M10,META PLATFORMS INC,FB,2020-10-29,2020-10-29,2.4,1.9
30303M10,META PLATFORMS INC,FB,2021-01-27,2021-01-27,3.88,9.37
30303M10,META PLATFORMS INC,FB,2021-04-28,2021-04-28,3.3,2.39
30303M10,META PLATFORMS INC,FB,2021-07-28,2021-07-28,3.61,3.09
30303M10,META PLATFORMS INC,FB,2021-10-25,2021-10-25,3.22,3.18
30303M10,META PLATFORMS INC,FB,2022-02-02,2022-02-02,3.67,13.91
30303M10,META PLATFORMS INC,FB,2022-04-27,2022-04-27,2.72,2.5
30303M10,META PLATFORMS INC,META,2022-07-27,2022-07-27,2.46,2.62
30303M10,META PLATFORMS INC,META,2022-10-26,2022-10-26,1.64,1.91
30303M10,META PLATFORMS INC,META,2023-02-01,2023-02-01,1.76,9.07
30303M10,META PLATFORMS INC,META,2023-04-26,2023-04-26,2.2,2.03
30303M10,META PLATFORMS INC,META,2023-07-26,2023-07-26,2.98,2.92
30303M10,META PLATFORMS INC,META,2023-10-25,2023-10-25,4.39,3.61
30303Q10,FACET BIOTECH CORP,FACT,2009-05-05,2009-05-05,-1.22,-1.37
30303Q10,FACET BIOTECH CORP,FACT,2009-08-04,2009-08-04,-1.71,-1.22
30303Q10,FACET BIOTECH CORP,FACT,2009-11-03,2009-11-03,-1.7,-1.89
30303Q10,FACET BIOTECH CORP,FACT,2010-02-23,2010-02-23,-1.27,-6.0
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2002-03-14,2002-03-14,0.28,0.27
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2002-06-11,2002-06-11,0.29,0.28
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2002-09-17,2002-09-17,0.32,1.14
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2002-12-12,2002-12-12,0.33,0.32
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2003-03-19,2003-03-19,0.35,0.33
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2003-06-17,2003-06-17,0.37,0.35
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2003-09-16,2003-09-16,0.38,1.42
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2003-12-16,2003-12-16,0.39,0.38
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2004-03-16,2004-03-16,0.41,0.41
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2004-06-15,2004-06-15,0.43,0.43
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2004-09-21,2004-09-21,0.45,1.71
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2004-12-21,2004-12-21,0.49,0.48
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2005-03-22,2005-03-22,0.34,0.33
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2005-06-21,2005-06-21,0.35,0.35
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2005-09-20,2005-09-20,0.37,1.38
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2005-12-20,2005-12-20,0.36,0.34
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2006-03-21,2006-03-21,0.38,0.37
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2006-06-20,2006-06-20,0.41,0.39
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2006-09-19,2006-09-19,0.43,1.56
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2006-12-19,2006-12-19,0.47,0.45
30307510,FACTSET RESEARCH SYSTEMS INC,FDS,2007-03-20,2007-03-20,0.49,0.48
