eps_name,quarter,actual_eps,forecast_eps,filepath
DATE,2015Q2,0.1,0.07,/Users/vazea/Desktop/NNW/transcripts_by_company/JIAYUANCOM_INTERNATIONAL_LTD_2015Q2.txt
ELAN,2021Q2,0.28,0.25,/Users/vazea/Desktop/NNW/transcripts_by_company/ELANCO_ANIMAL_HEALTH_INC_2021Q2.txt
MLCO,2018Q1,0.32,0.26,/Users/vazea/Desktop/NNW/transcripts_by_company/MELCO_RESORTS_ENTERTAINMENT_LT_2018Q1.txt
RSPP,2014Q3,0.24,0.28,/Users/vazea/Desktop/NNW/transcripts_by_company/RSP_PERMIAN_INC_2014Q3.txt
MTB,2019Q2,3.61,3.68,/Users/vazea/Desktop/NNW/transcripts_by_company/MT_BANK_CORP_2019Q2.txt
HLIT,2015Q4,0.01,0.1,/Users/vazea/Desktop/NNW/transcripts_by_company/HARMONIC_INC_2015Q4.txt
SMSI,2006Q1,0.12,0.1,/Users/vazea/Desktop/NNW/transcripts_by_company/SMITH_MICRO_SOFTWARE_INC_2006Q1.txt
NNN,2017Q3,0.35,0.36,/Users/vazea/Desktop/NNW/transcripts_by_company/NNN_REIT_INC_2017Q3.txt
NM,2019Q1,-1.16,-2.73,/Users/vazea/Desktop/NNW/transcripts_by_company/NAVIOS_MARITIME_HOLDINGS_INC_2019Q1.txt
SKIL,2023Q1,-0.15,-0.19,/Users/vazea/Desktop/NNW/transcripts_by_company/SKILLSOFT_CORP_2023Q1.txt
EXPO,2015Q2,0.43,0.41,/Users/vazea/Desktop/NNW/transcripts_by_company/EXPONENT_INC_2015Q2.txt
ICE,2011Q2,1.69,1.59,/Users/vazea/Desktop/NNW/transcripts_by_company/INTERCONTINENTALEXCHANGE_INC_2011Q2.txt
VNTR,2021Q1,0.01,0.03,/Users/vazea/Desktop/NNW/transcripts_by_company/VENATOR_MATERIALS_PLC_2021Q1.txt
JLL,2015Q4,4.53,10.29,/Users/vazea/Desktop/NNW/transcripts_by_company/JONES_LANG_LASALLE_INC_2015Q4.txt
ASML,2010Q4,1.262,2.81,/Users/vazea/Desktop/NNW/transcripts_by_company/ASML_HOLDING_NV_2010Q4.txt
CTB,2009Q4,0.72,1.78,/Users/vazea/Desktop/NNW/transcripts_by_company/COOPER_TIRE_RUBBER_CO_2009Q4.txt
ORBK,2006Q2,0.46,0.43,/Users/vazea/Desktop/NNW/transcripts_by_company/ORBOTECH_LTD_2006Q2.txt
GLW,2007Q3,0.38,0.36,/Users/vazea/Desktop/NNW/transcripts_by_company/CORNING_INC_2007Q3.txt
CUB,2017Q2,0.02,0.04,/Users/vazea/Desktop/NNW/transcripts_by_company/CUBIC_CORP_2017Q2.txt
COCO,2023Q1,0.12,0.07,/Users/vazea/Desktop/NNW/transcripts_by_company/VITA_COCO_COMPANY_INC_2023Q1.txt
